Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 200 Kompressor 225 Tyres at rear,M6,1796,Petrol,11.1,5.8,7.8,25.4,48.7,36.2,184,1688,74.0,0.255,0.023,0.018,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 200 Kompressor 225 Tyres at rear,A5,1796,Petrol,11.6,6.0,8.1,24.4,47.1,34.9,192,1751,72.0,0.223,0.022,0.015,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 200 Kompressor 245 Tyres at rear,M6,1796,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,188,1707,74.0,0.255,0.023,0.018,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 200 Kompressor 245 Tyres at rear,A5,1796,Petrol,11.8,6.2,8.2,23.9,45.6,34.4,196,1776,72.0,0.223,0.022,0.015,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 280 225 Tyres at rear,M6,2997,Petrol,13.6,6.7,9.3,20.8,42.2,30.4,220,2010,75.0,0.372,0.024,0.012,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 280 225 Tyres at rear,A7,2997,Petrol,13.0,6.8,9.1,21.7,41.5,31.0,216,1971,74.0,0.312,0.032,0.008,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 280 245 Tyres at rear,M6,2997,Petrol,13.8,6.9,9.5,20.5,40.9,29.7,225,2057,75.0,0.372,0.024,0.012,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 280 245 Tyres at rear,A7,2997,Petrol,13.2,7.0,9.3,21.4,40.4,30.4,221,2010,74.0,0.312,0.032,0.008,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 350 245 Tyres at rear,M6,3498,Petrol,14.2,6.9,9.5,19.9,40.9,29.7,227,2057,74.0,0.159,0.015,0.011,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 350 245 Tyres at rear,A7,3498,Petrol,13.1,7.0,9.2,21.6,40.4,30.7,219,1990,74.0,0.235,0.026,0.011,,,
MERCEDES-BENZ,SLK-Class (171) Model Year 2009,SLK 55 AMG,A7,5439,Petrol,17.7,8.8,12.0,16.0,32.1,23.5,288,2600,74.0,0.392,0.036,0.010,,,
MERCEDES-BENZ,SLK-Class Model Year 2010,"SLK 200 KOMPRESSOR with 205/55 16"" rear wheels",M6,1796,Petrol,11.0,5.7,7.7,25.7,49.6,36.7,182,1665,74.0,0.255,0.023,0.018,,,
MERCEDES-BENZ,SLK-Class Model Year 2010,"SLK 200 KOMPRESSOR with 205/55 16"" rear wheels",A5,1796,Petrol,11.5,5.9,8.0,24.6,47.9,35.3,190,1731,72.0,0.223,0.022,0.015,,,
MERCEDES-BENZ,SLK-Class Model Year 2010,"SLK 200 KOMPRESSOR with 225/50 16"" rear wheels",M6,1796,Petrol,11.1,5.8,7.8,25.4,48.7,36.2,184,1688,74.0,0.255,0.023,0.018,,,
MERCEDES-BENZ,SLK-Class Model Year 2010,"SLK 200 KOMPRESSOR with 225/50 16"" rear wheels",A5,1796,Petrol,11.6,6.0,8.1,24.4,47.1,34.9,192,1751,72.0,0.223,0.022,0.015,,,
MERCEDES-BENZ,SLK-Class Model Year 2010,"SLK 200 KOMPRESSOR with 245/40 17"" or 245/35 18"" rear wheels",M6,1796,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,188,1707,74.0,0.255,0.023,0.018,,,
MERCEDES-BENZ,SLK-Class Model Year 2010,"SLK 200 KOMPRESSOR with 245/40 17"" or 245/35 18"" rear wheels",A5,1796,Petrol,11.8,6.2,8.2,23.9,45.6,34.4,196,1776,72.0,0.223,0.022,0.015,,,
MERCEDES-BENZ,SLK-Class Model Year 2010,"SLK 55 AMG with 245/40 17"" or 245/35 18"" rear wheels",A7,5439,Petrol,17.7,8.8,12.0,16.0,32.1,23.5,288,2600,74.0,0.392,0.036,0.010,,,
MERCEDES-BENZ,Viano (639) Model Year 2009,Viano 3.5,A5,3724,Petrol,16.3,9.4,11.9,17.3,30.1,23.7,284,2578,72.0,0.167,0.029,0.021,,,
MG MOTORS UK,MG TF,135,5MT,1796,Petrol,11.1,6.1,7.9,25.4,46.3,35.8,185,1707,74.0,0.374,0.029,0.017,,,
MINI,MINI Hatchback R56,MINI Cooper D Hatchback - with particle filter,M6,1560,Diesel,4.7,3.5,3.9,60.1,80.7,72.4,104,851,72.0,0.051,,0.168,0.182,0.001,
MINI,MINI Hatchback R56,MINI Cooper D Hatchback - with particle filter,A6,1560,Diesel,6.5,4.2,5.0,43.5,67.3,56.5,134,1091,72.0,0.050,,0.143,0.156,0.000,
MINI,MINI Clubman R55,MINI Cooper D Clubman - with particle filter,M6,1560,Diesel,4.9,3.6,4.1,57.6,78.5,68.9,109,895,72.0,0.051,,0.168,0.182,0.001,
MINI,MINI Clubman R55,MINI Cooper D Clubman - with particle filter,A6,1560,Diesel,6.6,4.2,5.1,42.8,67.3,55.4,136,1113,72.0,0.050,,0.143,0.156,0.000,
MINI,MINI Hatchback R56,MINI First Hatchback - up to February 2010,M6,1397,Petrol,6.8,4.4,5.3,41.5,64.2,53.3,128,1146,73.0,0.278,0.053,0.014,,,
MINI,MINI Hatchback R56,MINI One Hatchback - up to February 2010,M6,1397,Petrol,6.8,4.4,5.3,41.5,64.2,53.3,128,1146,73.0,0.278,0.053,0.014,,,
MINI,MINI Hatchback R56,MINI One Hatchback - up to February 2010,A6,1397,Petrol,9.0,5.0,6.5,31.4,56.5,43.5,155,1405,71.0,0.223,0.073,0.014,,,
MINI,MINI Hatchback R56,MINI Cooper Hatchback - up to February 2010,M6,1598,Petrol,6.9,4.5,5.4,40.9,62.8,52.3,129,1168,74.0,0.424,0.044,0.012,,,
MINI,MINI Hatchback R56,MINI Cooper Hatchback - up to February 2010,A6,1598,Petrol,9.1,5.0,6.5,31.0,56.5,43.5,156,1405,73.0,0.236,0.050,0.026,,,
MINI,MINI Hatchback R56,MINI John Cooper Works Hatchback - up to February 2010,M6,1598,Petrol,9.2,5.6,6.9,30.7,50.4,40.9,165,1494,75.0,0.577,0.038,0.003,,,
MINI,MINI Clubman R55,MINI One Clubman - up to February 2010,M6,1397,Petrol,6.9,4.5,5.4,40.9,62.8,52.3,130,1168,73.0,0.278,0.053,0.014,,,
MINI,MINI Clubman R55,MINI One Clubman - up to February 2010,A6,1397,Petrol,9.1,5.1,6.6,31.0,55.4,42.8,158,1428,71.0,0.223,0.073,0.014,,,
MINI,MINI Clubman R55,MINI Cooper Clubman - up to February 2010,M6,1598,Petrol,7.1,4.5,5.5,39.8,62.8,51.4,132,1189,73.0,0.424,0.044,0.012,,,
MINI,MINI Clubman R55,MINI Cooper Clubman - up to February 2010,A6,1598,Petrol,9.2,5.1,6.6,30.7,55.4,42.8,159,1428,73.0,0.236,0.050,0.026,,,
MINI,MINI Clubman R55,MINI John Cooper Works Clubman - up to February 2010,M6,1598,Petrol,9.3,5.7,7.0,30.4,49.6,40.4,167,1512,75.0,0.577,0.038,0.003,,,
MINI,MINI Convertible R57,MINI Cooper Convertible - up to February 2010,M6,1598,Petrol,7.4,4.7,5.7,38.2,60.1,49.6,137,1232,74.0,0.424,0.044,0.012,,,
MINI,MINI Convertible R57,MINI Cooper Convertible - up to February 2010,A6,1598,Petrol,9.3,5.2,6.7,30.4,54.3,42.2,161,1448,73.0,0.236,0.050,0.026,,,
MINI,MINI Convertible R57,MINI John Cooper Works Convertible - up to February 2010,M6,1598,Petrol,9.3,5.8,7.1,30.4,48.7,39.8,169,1535,75.0,0.577,0.038,0.003,,,
MITSUBISHI,Colt,1.5 Manual,5MT,1493,Diesel,6.3,4.1,4.8,44.8,69.9,58.8,126,1048,74.0,0.120,,0.196,0.210,0.016,
MITSUBISHI,Colt,1.5 AMT,SAT6,1493,Diesel,5.8,4.0,4.6,48.7,70.6,61.4,121,1004,74.0,0.090,,0.204,0.216,0.015,
MITSUBISHI,Lancer Saloon Model Year 2008 on,GS3,6MT,1968,Diesel,8.3,5.1,6.3,34.0,55.4,44.8,165,1376,73.0,0.048,,0.194,0.218,0.020,
MITSUBISHI,Lancer Saloon Model Year 2008 on,GS3 with DPF,6MT,1968,Diesel,8.5,5.2,6.4,33.2,54.3,44.1,169,1398,73.0,0.048,,0.194,0.218,0.002,
MITSUBISHI,Lancer Saloon Model Year 2008 on,GS4,6MT,1968,Diesel,8.3,5.1,6.3,34.0,55.4,44.8,165,1376,73.0,0.048,,0.194,0.218,0.020,
MITSUBISHI,Lancer Saloon Model Year 2008 on,GS4 with DPF,6MT,1968,Diesel,8.5,5.2,6.4,33.2,54.3,44.1,169,1398,73.0,0.048,,0.194,0.218,0.002,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS3,6MT,1968,Diesel,8.6,5.3,6.5,32.8,53.3,43.5,170,1417,73.0,0.048,,0.194,0.218,0.020,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS4,6MT,1968,Diesel,8.6,5.3,6.5,32.8,53.3,43.5,170,1417,73.0,0.048,,0.194,0.218,0.020,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS3 with DPF,6MT,1968,Diesel,8.5,5.2,6.4,33.2,54.3,44.1,173,1398,73.0,0.048,,0.194,0.218,0.002,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS4 with DPF,6MT,1968,Diesel,8.5,5.2,6.4,33.2,54.3,44.1,173,1398,73.0,0.048,,0.194,0.218,0.002,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS2 2.0,6MT,1968,Diesel,8.3,5.1,6.3,34.0,55.4,44.8,165,1376,73.0,0.150,,0.183,0.216,0.001,
MITSUBISHI,Grandis,2.0,6MT,1968,Diesel,8.4,5.6,6.6,33.6,50.4,42.8,176,1440,74.0,0.098,,0.184,0.226,0.020,
MITSUBISHI,Outlander,SE,6MT,1968,Diesel,8.8,5.9,6.9,32.1,47.9,40.9,183,1507,72.0,0.015,,0.172,0.214,0.015,
MITSUBISHI,Outlander,GSE,6MT,1968,Diesel,8.8,5.9,6.9,32.1,47.9,40.9,183,1507,72.0,0.015,,0.172,0.214,0.015,
MITSUBISHI,Outlander,Equippe,6MT,1968,Diesel,8.4,5.5,6.6,33.6,51.4,42.8,174,1440,76.0,0.127,,0.227,0.265,0.023,
MITSUBISHI,Outlander,Elegance,6MT,1968,Diesel,8.8,5.9,6.9,32.1,47.9,40.9,183,1507,76.0,0.150,,0.172,0.214,0.015,
MITSUBISHI,Outlander,Diamond,6MT,2179,Diesel,9.6,6.0,7.3,29.2,47.1,38.7,194,1593,76.0,0.186,,0.196,0.226,0.001,
MITSUBISHI,Outlander,Warrior,6MT,1968,Diesel,8.8,5.9,6.9,32.1,47.9,40.9,183,1507,76.0,0.150,,0.172,0.214,0.015,
MITSUBISHI,Shogun,Elegance SWB,5MT,3200,Diesel,11.4,7.9,9.2,24.8,35.8,30.7,244,2008,74.0,0.024,0.014,0.276,0.290,0.044,
MITSUBISHI,Shogun,Elegance SWB,5AT,3200,Diesel,13.1,9.0,10.5,21.6,31.4,26.9,278,2292,68.0,0.129,0.030,0.256,0.306,0.001,
MITSUBISHI,Shogun,Elegance LWB,5MT,3200,Diesel,11.5,8.0,9.3,24.6,35.3,30.4,246,2028,74.0,0.029,0.014,0.276,0.290,0.037,
MITSUBISHI,Shogun,Elegance LWB,5AT,3200,Diesel,13.1,9.1,10.6,21.6,31.0,26.6,280,2317,70.0,0.129,0.030,0.256,0.306,0.001,
MITSUBISHI,Shogun,Equippe SWB,5MT,3200,Diesel,11.4,7.9,9.2,24.8,35.8,30.7,244,2008,73.0,0.024,0.014,0.276,0.290,0.044,
MITSUBISHI,Shogun,Equippe SWB,5AT,3200,Diesel,13.1,9.0,10.5,21.6,31.4,26.9,278,2292,68.0,0.129,0.030,0.256,0.306,0.001,
MITSUBISHI,Shogun,Equippe LWB,5MT,3200,Diesel,11.5,8.0,9.3,24.6,35.3,30.4,246,2028,74.0,0.024,0.014,0.276,0.290,0.044,
MITSUBISHI,Shogun,Equippe LWB,5AT,3200,Diesel,13.1,9.1,10.6,21.6,31.0,26.6,280,2317,70.0,0.129,0.030,0.256,0.286,0.001,
MITSUBISHI,Shogun,Diamond SWB,5AT,3200,Diesel,13.1,9.0,10.5,21.6,31.4,26.9,278,2292,68.0,0.129,0.030,0.256,0.286,0.001,
MITSUBISHI,Shogun,Diamond LWB,5AT,3200,Diesel,13.1,9.1,10.6,21.6,31.0,26.6,280,2317,70.0,0.129,0.030,0.256,0.286,0.001,
MITSUBISHI,Shogun,Warrior SWB,5AT,3200,Diesel,13.1,9.0,10.5,21.6,31.4,26.9,278,2292,68.0,0.129,0.030,0.256,0.286,0.001,
MITSUBISHI,Shogun,Warrior LWB,5AT,3200,Diesel,13.1,9.1,10.6,21.6,31.0,26.6,280,2317,70.0,0.129,0.030,0.256,0.286,0.001,
MITSUBISHI,i,0.7 mivec turbo i automatic,A4,658,Petrol,5.4,5.0,5.2,52.3,56.0,54.6,114,1119,73.8,0.591,0.069,0.077,,,
MITSUBISHI,Colt,1.1 Manual,5MT,1124,Petrol,7.3,4.8,5.7,38.7,58.9,49.6,135,1232,73.0,0.352,0.072,0.032,,,
MITSUBISHI,Colt,1.3 Manual,5MT,1332,Petrol,7.7,5.0,6.0,36.7,56.5,47.1,143,1297,74.0,0.325,0.073,0.022,,,
MITSUBISHI,Colt,1.3 AMT,SAT6,1332,Petrol,7.5,5.0,5.8,37.7,56.5,48.7,138,1255,74.0,0.236,0.081,0.022,,,
MITSUBISHI,Colt,1.3 Clear Tec,5MT,1298,Petrol,6.3,4.3,5.0,44.8,65.7,56.5,119,1081,74.0,0.278,0.050,0.023,,,
MITSUBISHI,Colt,1.5 Manual,5MT,1499,Petrol,8.0,5.1,6.2,35.3,55.4,45.6,148,1340,74.0,0.464,0.066,0.028,,,
MITSUBISHI,Colt,1.5 AMT,SAT6,1499,Petrol,8.2,5.2,6.3,34.4,54.3,44.8,149,1364,69.0,0.400,0.064,0.013,,,
MITSUBISHI,Colt CZT,1.5,5MT,1468,Petrol,8.6,5.7,6.8,32.8,49.5,41.5,161,1472,72.0,0.631,0.067,0.023,,,
MITSUBISHI,Colt Ralliart,1.5 Manual,5MT,1468,Petrol,8.6,5.7,6.9,32.8,49.6,40.9,161,1494,72.0,0.631,0.067,0.023,,,
MITSUBISHI,Lancer Saloon,1.6,5MT,1584,Petrol,9.0,5.6,6.8,31.3,50.4,41.5,163,1472,72.0,0.310,0.028,0.012,,,
MITSUBISHI,Lancer Saloon,1.6,A4,1584,Petrol,10.6,6.6,8.0,26.6,42.8,35.3,191,1731,72.0,0.210,0.032,0.010,,,
MITSUBISHI,Lancer Estate,1.6,5MT,1584,Petrol,8.9,5.8,7.0,31.7,48.7,40.4,166,1512,72.0,0.310,0.028,0.012,,,
MITSUBISHI,Lancer Estate,1.6,A5,1584,Petrol,10.7,6.8,8.2,26.4,41.5,34.4,195,1776,72.0,0.210,0.032,0.010,,,
MITSUBISHI,Lancer Estate,2.0,5MT,1997,Petrol,11.8,6.9,8.7,24.0,40.9,32.5,207,1880,74.0,0.674,0.063,0.032,,,
MITSUBISHI,Lancer Saloon Model Year 2008 on,SE 1.5,5MT,1499,Petrol,8.2,5.4,6.4,34.4,52.3,44.1,153,1385,72.0,0.546,0.065,0.022,,,
MITSUBISHI,Lancer Saloon Model Year 2008 on,GS3,5MT,1798,Petrol,10.4,6.1,7.7,27.2,46.3,36.7,183,1665,72.0,0.413,0.051,0.025,,,
MITSUBISHI,Lancer Saloon Model Year 2008 on,GS3,CVT,1798,Petrol,10.9,6.2,7.9,25.9,45.6,35.8,188,1707,71.0,0.301,0.066,0.037,,,
MITSUBISHI,Lancer Saloon Model Year 2008 on,GS4,5MT,1798,Petrol,10.4,6.1,7.7,27.2,46.3,36.7,183,1665,72.0,0.413,0.051,0.025,,,
MITSUBISHI,Lancer Saloon Model Year 2008 on,GS4,CVT,1798,Petrol,10.9,6.2,7.9,25.9,45.6,35.8,188,1707,71.0,0.301,0.066,0.037,,,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS2 1.5,5MT,1499,Petrol,8.3,5.6,6.6,34.0,50.4,42.8,156,1428,73.0,0.495,0.070,0.020,,,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS2 1.8,5MT,1798,Petrol,10.5,6.4,7.9,26.9,44.1,35.8,188,1707,72.0,0.413,0.051,0.025,,,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS2 1.8,CVT,1798,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,191,1731,71.0,0.301,0.066,0.037,,,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS3,5MT,1798,Petrol,10.5,6.4,7.9,26.9,44.1,35.8,188,1707,72.0,0.413,0.051,0.025,,,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS3,CVT,1798,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,198,1797,71.0,0.301,0.066,0.037,,,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS4,5MT,1798,Petrol,10.5,6.4,7.9,26.9,44.1,35.8,188,1707,72.0,0.413,0.051,0.025,,,
MITSUBISHI,Lancer Sportback Model Year 2009 on,GS4,CVT,1798,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,198,1797,71.0,0.301,0.066,0.037,,,
MITSUBISHI,Lancer Ralliart Model Year 2009,GS,AT,1968,Petrol,13.9,8.1,10.2,20.3,34.9,27.7,243,2206,70.0,0.410,0.038,0.026,,,
MITSUBISHI,Lancer Ralliart Model Year 2009,GSR,AT,1968,Petrol,13.9,8.1,10.2,20.3,34.9,27.7,243,2206,70.0,0.410,0.038,0.026,,,
MITSUBISHI,Outlander,2.4 ,A4,2378,Petrol,13.8,8.0,10.1,20.5,35.3,28.0,240,2182,73.0,0.272,0.038,0.026,,,
MITSUBISHI,Outlander,Elegance,CVT,2360,Petrol,12.6,7.5,9.3,22.4,37.7,30.4,222,2010,71.0,0.464,0.060,0.016,,,
MORGAN MOTOR COMPANY,Aero 8 Manual,Aero 8 Manual,M6,4799,Petrol,16.5,8.2,11.2,17.1,34.4,25.2,269,2425,74.0,0.537,0.093,0.013,,,
MORGAN MOTOR COMPANY,Aero 8 Automatic,Aero 8 Automatic,A6,4799,Petrol,15.9,7.8,10.8,17.8,36.2,26.2,260,2332,74.0,0.284,0.054,0.022,,,
MORGAN MOTOR COMPANY,4/4 1800,4/4 1800,M5,1798,Petrol,9.8,5.3,7.0,28.8,53.3,40.3,164,1516,74.0,0.403,0.054,0.029,,,
MORGAN MOTOR COMPANY,Plus 4 2000,Plus 4 2000,M5,1999,Petrol,10.2,5.6,7.3,27.7,50.4,38.7,172,1579,74.0,0.429,0.056,0.008,,,
MORGAN MOTOR COMPANY,Roadster 3000,Roadster 3000,M5,2967,Petrol,14.8,6.7,9.8,19.1,42.2,28.8,225,2121,74.0,0.244,0.073,0.020,,,
NISSAN,Micra ,1.5 dCi 63kW,M5,1461,Diesel,5.2,4.2,4.6,54.3,67.3,61.4,120,1004,73.0,0.143,,0.199,0.215,0.024,
NISSAN,Note,1.5 dCi 63kW,M5,1461,Diesel,5.0,4.0,4.3,56.5,70.6,65.7,115,938,71.0,0.070,,0.212,0.223,0.019,
NISSAN,Cube,1.5 dCi 81kW,M6,1461,Diesel,6.0,4.7,5.2,47.1,60.1,54.3,135,1135,68.7,0.200,,0.153,0.175,0.000,
NISSAN,NV200 Combi,1.5 63kW,M5,1461,Diesel,5.8,4.8,5.2,48.7,58.5,54.3,137,1135,69.0,0.159,,0.221,0.249,0.017,
NISSAN,X Trail,2.0 dCi 4x4 110kW,A6,1995,Diesel,10.5,6.7,8.1,26.9,42.2,34.9,216,1766,66.2,0.076,,0.202,0.217,0.001,
NISSAN,X Trail,2.0 dCi 4x4 127kW,M6,1995,Diesel,9.3,6.3,7.4,30.4,44.8,38.2,198,1614,71.3,0.101,,0.180,0.194,0.001,
NISSAN,Pathfinder,2.5 dCi 190,M6,2488,Diesel,10.8,7.2,8.5,26.2,39.2,33.2,224,1857,71.0,0.690,,0.360,0.420,0.040,
NISSAN,Pathfinder,2.5 dCi 190,A5,2488,Diesel,12.0,7.3,9.0,23.5,38.7,31.4,238,1963,74.0,0.230,,0.350,0.370,0.040,
NISSAN,Qashqai ,1.5 dCi 4X2,M6,1461,Diesel,5.9,4.7,5.1,47.9,60.1,55.4,135,1113,69.0,0.206,,0.192,0.215,0.022,
NISSAN,Qashqai ,1.5 dCi 4X2 Pure Drive,M6,1461,Diesel,5.6,4.5,4.9,50.4,62.8,57.6,129,1070,69.0,0.206,,0.192,0.215,0.022,
NISSAN,Qashqai ,2.0 4x2 ,M6,1995,Diesel,8.2,5.4,6.4,34.4,52.3,44.1,167,1398,71.0,0.134,,0.164,0.192,0.001,
NISSAN,Qashqai ,2.0 4x4 ,M6,1995,Diesel,8.5,5.7,6.7,33.2,49.6,42.2,177,1461,71.0,0.134,,0.164,0.192,0.001,
NISSAN,Qashqai ,2.0 4x4 ,A6,1995,Diesel,9.4,6.0,7.2,30.1,47.1,39.2,191,1573,68.0,0.297,,0.160,0.185,0.001,
NISSAN,Qashqai + 2 ,1.5 dCi 4x2,M6,1461,Diesel,6.0,4.8,5.2,47.1,58.9,54.3,138,1135,69.0,0.206,,0.192,0.215,0.022,
NISSAN,Qashqai + 2 ,2.0 dCi 4x2,M6,1995,Diesel,8.3,5.5,6.5,34.0,51.4,43.5,169,1417,71.0,0.134,,0.164,0.192,0.001,
NISSAN,Qashqai + 2 ,2.0 dCi 4X4,M6,1995,Diesel,8.8,5.7,6.8,32.1,49.6,41.5,179,1485,71.0,0.134,,0.164,0.192,0.001,
NISSAN,Qashqai + 2 ,2.0 dCi 4X4,A6,1995,Diesel,9.9,6.3,7.6,28.5,44.8,37.2,199,1657,68.0,0.297,,0.160,0.185,0.001,
NISSAN,Primastar,2.0 dCi SWB/LWB,M6,1995,Diesel,10.2,7.4,8.4,27.7,39.2,33.6,224,1835,72.1,0.199,,0.344,0.370,0.035,
NISSAN,Primastar,2.0 dCi SWB/LWB,Semi-Auto,1995,Diesel,9.1,7.4,8.0,31.0,38.2,35.3,213,1746,68.5,0.255,,0.365,0.386,0.042,
NISSAN,Primastar,2.5 dCi SWBLWB,M6,2464,Diesel,10.5,7.7,8.8,26.9,36.7,32.1,232,1920,74.4,0.483,,0.355,0.396,0.002,
NISSAN,Micra ,1.2,M5,1240,Petrol,7.4,5.1,5.9,38.2,55.4,47.9,139,1276,72.0,0.565,0.040,0.040,,,
NISSAN,Micra ,1.2,A4,1240,Petrol,8.2,5.7,6.6,34.4,49.6,42.8,159,1428,71.0,0.705,0.084,0.028,,,
NISSAN,Micra ,1.4,M5,1386,Petrol,7.9,5.4,6.3,35.8,52.3,44.8,154,1364,74.0,0.483,0.032,0.022,,,
NISSAN,Micra ,1.4,A4,1386,Petrol,8.7,5.7,6.8,32.5,49.6,41.5,163,1472,72.0,0.301,0.075,0.026,,,
NISSAN,Note,1.4,M5,1386,Petrol,7.3,5.1,5.9,38.7,55.4,47.9,139,1276,72.0,0.448,0.055,0.043,,,
NISSAN,Note,1.6,M5,1598,Petrol,8.5,5.5,6.6,33.2,51.4,42.8,149,1428,72.0,0.318,0.037,0.016,,,
NISSAN,Note,1.6,A4,1598,Petrol,9.1,5.4,6.8,31.0,52.3,41.5,159,1472,72.0,0.192,0.044,0.014,,,
NISSAN,Murano,3.5 V6,MCVT,3498,Petrol,14.9,8.6,10.9,19.0,32.8,25.9,261,2359,69.9,0.493,0.043,0.004,,,
NISSAN,Qashqai ,1.6 4x2,M5,1598,Petrol,8.3,5.6,6.6,34.0,50.4,42.8,155,1428,70.0,0.236,0.062,0.026,,,
NISSAN,Qashqai ,2.0 4x2,M6,1997,Petrol,10.4,6.3,7.8,27.2,44.8,36.2,184,1688,71.0,0.302,0.026,0.013,,,
NISSAN,Qashqai ,2.0 4x2,CVT,1997,Petrol,10.1,6.2,7.6,28.0,45.6,37.2,179,1642,68.0,0.324,0.044,0.010,,,
NISSAN,Qashqai ,2.0 4x4,CVT,1997,Petrol,10.6,6.5,8.0,26.6,43.5,35.3,189,1731,69.0,0.228,0.054,0.020,,,
NISSAN,Qashqai + 2 ,1.6 4x2,M5,1598,Petrol,8.6,5.8,6.8,32.8,48.7,41.5,159,1472,70.0,0.236,0.062,0.026,,,
NISSAN,Qashqai + 2 ,2.0 4x2,M6,1997,Petrol,10.7,6.5,8.0,26.4,43.5,35.3,189,1731,71.0,0.302,0.026,0.013,,,
NISSAN,Qashqai + 2 ,2.0 4X4,CVT,1997,Petrol,10.7,6.8,8.2,26.4,41.5,34.4,194,1776,69.0,0.228,0.054,0.020,,,
PERODUA,Myvi,SX Myvi,M5,1298,Petrol,7.5,4.8,5.8,37.7,58.8,48.7,137,1255,68.6,0.558,0.055,0.002,,,
PERODUA,Myvi,Sxi Myvi,M5,1298,Petrol,7.5,4.8,5.8,37.7,58.8,48.7,137,1255,68.6,0.558,0.055,0.002,,,
PERODUA,Myvi,EZ Myvi,A4,1298,Petrol,8.6,5.2,6.4,32.8,54.3,44.1,151,1385,69.5,0.452,0.060,0.001,,,
PERODUA,Myvi,Ezi Myvi,A4,1298,Petrol,8.6,5.2,6.4,32.8,54.3,44.1,151,1385,69.5,0.452,0.060,0.001,,,
PEUGEOT,207,1.4 HDi (70 bhp),M5,1398,Diesel,5.7,3.7,4.4,49.5,76.3,64.1,117,962,73.0,0.056,,0.182,0.193,0.018,
PEUGEOT,207,1.6 HDi (90 bhp),M5,1560,Diesel,5.7,3.7,4.4,49.5,76.3,64.1,117,962,72.0,0.100,,0.216,0.228,0.023,
PEUGEOT,207,1.6 HDi FAP (110 bhp),M5,1560,Diesel,5.8,3.8,4.5,48.6,74.3,62.7,120,983,75.0,0.033,,0.241,0.256,0.002,
PEUGEOT,207 From August 2009 onwards,1.4 HDi (70 bhp),M5,1398,Diesel,5.7,3.7,4.4,49.5,76.3,64.1,117,962,73.0,0.056,,0.182,0.193,0.018,
PEUGEOT,207 From August 2009 onwards,1.4 HDi (70 bhp) Energy Saver Tyres,M5,1398,Diesel,5.5,3.7,4.3,51.3,76.3,65.6,115,940,73.0,0.056,,0.182,0.193,0.018,
PEUGEOT,207 From August 2009 onwards,1.6 HDi (90 bhp),M5,1560,Diesel,5.7,3.7,4.4,49.5,76.3,64.1,117,962,72.0,0.100,,0.216,0.228,0.023,
PEUGEOT,207 From August 2009 onwards,1.6 HDi (90 bhp) Energy Saver Tyres,M5,1560,Diesel,5.6,3.6,4.3,50.4,78.4,65.6,115,940,72.0,0.100,,0.216,0.228,0.023,
PEUGEOT,207 From August 2009 onwards,1.6 HDi (90 bhp) 99g Economique,M5,1560,Diesel,4.6,3.3,3.8,61.3,85.5,74.3,99,830,72.0,0.383,,0.211,0.253,0.023,
PEUGEOT,207 From August 2009 onwards,1.6 HDi FAP (110 bhp),M5,1560,Diesel,5.8,3.8,4.5,48.6,74.3,62.7,120,983,75.0,0.033,,0.241,0.256,0.002,
PEUGEOT,207 Coupé Cabriolet,1.6 HDi FAP (110 bhp),M5,1560,Diesel,6.2,4.3,5.0,45.5,65.6,56.4,130,1093,74.0,0.135,,0.201,0.220,0.005,
